waypoint_name,x,y,yaw_deg,target_x,target_y,remaining_distance_m,footprint_clearance_m,footprint_clearance_mm,elapsed_sec
astar_wp01,0.391971,0.319574,37.026218,2.100000,1.600000,2.134679,0.987871,987.871029,6.141617
astar_wp01,0.391971,0.319574,37.026218,2.100000,1.600000,2.134679,0.987871,987.871029,6.261758
astar_wp01,0.391971,0.319574,37.026218,2.100000,1.600000,2.134679,0.987871,987.871029,6.381885
astar_wp01,0.391971,0.319574,37.026218,2.100000,1.600000,2.134679,0.987871,987.871029,6.502135
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,6.622349
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,6.742628
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,6.862866
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,6.983016
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,7.103198
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,7.223392
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,7.343558
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,7.466534
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,7.586746
astar_wp01,0.535862,0.427718,36.859148,2.100000,1.600000,1.954680,0.844149,844.149196,7.707033
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,7.827337
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,7.947628
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,8.067828
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,8.187994
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,8.308128
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,8.428263
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,8.548438
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,8.668634
astar_wp01,0.679892,0.535678,36.850396,2.100000,1.600000,1.774680,0.700128,700.128110,8.788809
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,8.909083
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.029295
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.149405
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.269683
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.389865
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.510264
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.630572
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.750936
astar_wp01,0.823930,0.643627,36.849674,2.100000,1.600000,1.594680,0.556091,556.090884,9.871098
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,9.991319
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.111506
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.231716
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.351851
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.471997
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.592151
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.712297
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.832432
astar_wp01,0.967968,0.751577,36.850195,2.100000,1.600000,1.414680,0.412053,412.052677,10.952534
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.072636
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.192744
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.312853
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.433078
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.555456
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.676409
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.796561
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,11.916698
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,12.036839
astar_wp01,1.112005,0.859527,36.850400,2.100000,1.600000,1.234680,0.268016,268.015535,12.156961
astar_wp01,1.256042,0.967479,36.850444,2.100000,1.600000,1.054680,0.163765,163.764970,12.277085
