waypoint_name,target_x,target_y,start_x,start_y,end_x,end_y,final_error_m,duration_sec,status
astar_wp01,2.100000,1.600000,0.000000,0.000000,2.080455,1.585291,0.024462,20.192480,success
astar_goal,5.500000,2.000000,2.080455,1.585291,5.487163,1.998493,0.012925,27.125681,success
