time_sec,waypoint_index,waypoint_name,x,y,yaw_deg,target_x,target_y,distance_to_goal,heading_error_deg,linear_speed,angular_speed,mode
0.000013,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.050142,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.150499,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.200613,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.250685,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.300771,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.350876,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.401074,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.451213,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.501737,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.551953,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.602142,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.652301,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.702394,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.752543,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.802655,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.852786,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.902863,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
0.953029,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
1.003143,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
1.053262,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
1.103346,0,astar_wp01,0.000000,-0.000000,0.000000,0.700000,0.800000,1.063015,48.814075,0.000000,0.800000,turn
1.153449,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.203530,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.253683,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.305747,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.355920,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.406058,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.456242,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.506329,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.556497,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.606665,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.656783,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.706875,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.756992,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.808874,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
1.859536,0,astar_wp01,-0.000000,-0.000000,35.775485,0.700000,0.800000,1.063015,13.038590,0.000000,0.341349,turn
