waypoint_name,forward_m,left_m,start_x,start_y,target_x,target_y,end_x,end_y,initial_distance_m,final_error_m,path_length_m,duration_sec,samples
wp01_forward_035,0.35,0.0,0.0,0.0,0.35,-0.0,0.339445,-0.0,0.35,0.010554999999999981,0.339445,5.434281,109
wp02_left_035,0.0,0.35,0.33987,-0.0,0.33987,0.35,0.340475,0.344355,0.35,0.005677327716452479,0.3445219404509807,13.318267,266
wp03_forward_035,0.35,0.0,0.340539,0.345578,0.358864,0.695098,0.358298,0.684309,0.3500000514642819,0.010803836216825997,0.33919621525440335,5.475181,110
wp04_right_035,0.0,-0.35,0.358374,0.685757,0.707894,0.667433,0.699929,0.668188,0.34999999910857144,0.008000703094103662,0.3422531995298892,15.534824,310
