waypoint_name,target_x,target_y,start_x,start_y,end_x,end_y,final_error_m,duration_sec,status
wp01_north,0.700000,1.000000,0.701229,0.668228,0.700338,0.996465,0.003551,9.002172,success
wp02_west,0.350000,1.000000,0.700338,0.996465,0.359256,0.999833,0.009258,10.462321,success
wp03_south,0.350000,0.650000,0.359256,0.999833,0.350398,0.657899,0.007909,10.447264,success
wp04_east,0.700000,0.650000,0.350398,0.657899,0.686288,0.650918,0.013743,10.474436,success
